Zeit;Kanal A
(ms);(mV)

-21,42499914;3,00935030
-21,41999914;2,82111216
-21,41499914;2,63348913
-21,40999914;2,82111216
-21,40499914;2,82111216
-21,39999914;2,82111216
-21,39499914;3,00935030
-21,38999914;3,00935030
-21,38499914;3,19758844
-21,37999914;3,19758844
-21,37499914;3,94992590
-21,36999914;3,76168776
-21,36499914;4,32640219
-21,35999914;4,32640219
-21,35499914;3,76168776
-21,34999914;4,70226383
-21,34499914;4,70226383
-21,33999914;4,89050150
-21,33499914;5,45460081
-21,32999914;5,26697826
-21,32499914;5,45460081
-21,31999914;5,26697826
-21,31499915;6,20755386
-21,30999915;5,45460081
-21,30499915;5,07874012
-21,29999915;4,89050150
-21,29499915;5,07874012
-21,28999915;4,89050150
-21,28499915;4,70226383
-21,27999915;6,20755386
-21,27499915;4,70226383
-21,26999915;4,32640219
-21,26499915;5,26697826
-21,25999915;4,32640219
-21,25499915;3,94992590
-21,24999915;4,32640219
-21,24499915;4,13816404
-21,23999915;3,94992590
-21,23499915;3,76168776
-21,22999915;3,94992590
-21,22499915;4,32640219
-21,21999915;4,32640219
-21,21499915;3,76168776
-21,20999915;3,76168776
-21,20499915;3,38582659
-21,19999915;2,82111216
-21,19499915;3,76168776
-21,18999915;2,44525075
-21,18499915;2,25701261
-21,17999915;2,06877446
-21,17499915;1,69291329
-21,16999915;1,88053632
-21,16499915;2,06877446
-21,15999915;1,12819874
-21,15499915;0,37586120
-21,14999915;0,93996060
-21,14499915;1,12819874
-21,13999915;0,00000000
-21,13499915;0,00000000
-21,12999915;-0,93996060
-21,12499915;0,18762302
-21,11999915;-0,75233757
-21,11499915;0,18762302
-21,10999915;-0,56409937
-21,10499915;-0,37586120
-21,09999915;-1,12819874
-21,09499915;-0,93996060
-21,08999915;-1,50467515
-21,08499915;-1,12819874
-21,07999915;-2,06877446
-21,07499915;-2,63348913
-21,06999915;-2,82111216
-21,06499915;-3,00935030
-21,05999915;-3,00935030
-21,05499915;-2,06877446
-21,04999915;-4,51402521
-21,04499915;-3,00935030
-21,03999915;-3,00935030
-21,03499915;-2,25701261
-21,02999915;-3,00935030
-21,02499915;-2,06877446
-21,01999915;-2,06877446
-21,01499915;-0,75233757
-21,00999915;-0,93996060
-21,00499915;-0,18762302
-20,99999915;-0,18762302
-20,99499915;-0,18762302
-20,98999915;-1,12819874
-20,98499915;-0,75233757
-20,97999915;-1,69291329
-20,97499915;-1,50467515
-20,96999915;-3,19758844
-20,96499915;-3,19758844
-20,95999915;-4,70226383
-20,95499915;-4,32640219
-20,94999915;-5,07874012
-20,94499915;-5,45460081
-20,93999915;-5,64283943
-20,93499915;-5,83107758
-20,92999915;-5,64283943
-20,92499915;-5,07874012
-20,91999916;-4,32640219
-20,91499916;-3,57344961
-20,90999916;-3,38582659
-20,90499916;-2,63348913
-20,89999916;-2,25701261
-20,89499916;-2,25701261
-20,88999916;-1,69291329
-20,88499916;-1,31643701
-20,87999916;-1,31643701
-20,87499916;-1,69291329
-20,86999916;-2,06877446
-20,86499916;-3,94992590
-20,85999916;-3,19758844
-20,85499916;-3,57344961
-20,84999916;-3,76168776
-20,84499916;-4,89050150
-20,83999916;-4,70226383
-20,83499916;-4,89050150
-20,82999916;-5,26697826
-20,82499916;-4,89050150
-20,81999916;-5,07874012
-20,81499916;-3,94992590
-20,80999916;-4,51402521
-20,80499916;-4,13816404
-20,79999916;-3,19758844
-20,79499916;-3,19758844
-20,78999916;-2,63348913
-20,78499916;-2,06877446
-20,77999916;-1,69291329
-20,77499916;-1,50467515
-20,76999916;-1,12819874
-20,76499916;-1,69291329
-20,75999916;-1,31643701
-20,75499916;-1,69291329
-20,74999916;-1,69291329
-20,74499916;-2,25701261
-20,73999916;-2,44525075
-20,73499916;-3,57344961
-20,72999916;-3,19758844
-20,72499916;-3,38582659
-20,71999916;-3,19758844
-20,71499916;-3,38582659
-20,70999916;-3,19758844
-20,70499916;-3,00935030
-20,69999916;-2,63348913
-20,69499916;-2,44525075
-20,68999916;-1,69291329
-20,68499916;-1,31643701
-20,67999916;-0,75233757
-20,67499916;-1,12819874
-20,66999916;-0,18762302
-20,66499916;-0,18762302
-20,65999916;-0,56409937
-20,65499916;-0,18762302
-20,64999916;-0,93996060
-20,64499916;0,00000000
-20,63999916;-1,50467515
-20,63499916;-2,06877446
-20,62999916;-1,69291329
-20,62499916;-1,69291329
-20,61999916;-2,06877446
-20,61499916;-2,06877446
-20,60999916;-2,44525075
-20,60499916;-3,19758844
-20,59999916;-3,38582659
-20,59499916;-3,19758844
-20,58999916;-3,19758844
-20,58499916;-2,82111216
-20,57999916;-3,57344961
-20,57499916;-2,63348913
-20,56999916;-3,00935030
-20,56499916;-2,06877446
-20,55999916;-1,88053632
-20,55499916;-1,31643701
-20,54999916;-1,12819874
-20,54499916;-1,31643701
-20,53999916;-1,31643701
-20,53499916;-0,75233757
-20,52999916;-0,56409937
-20,52499916;-0,93996060
